+--------+------------------+------------------+------------------+----------------------------+
| Index  |    Interative    | Binet's Formula  |    Difference    |          ERROR(%)          |
|    137 |     1.913470e+28 |     1.913470e+28 |    -8.561905e+13 |     4.474542907472322e-13% |
|    138 |     3.096060e+28 |     3.096060e+28 |    -1.406590e+14 |     4.543162410759533e-13% |
|    139 |     5.009530e+28 |     5.009530e+28 |    -2.262781e+14 |    4.5169520927949537e-13% |
|    140 |     8.105590e+28 |     8.105590e+28 |    -3.757332e+14 |     4.635482392884216e-13% |
|    141 |     1.311512e+29 |     1.311512e+29 |    -6.108074e+14 |     4.657276184347207e-13% |
|    142 |     2.122071e+29 |     2.122071e+29 |    -1.004133e+15 |     4.731852720916814e-13% |
|    143 |     3.433583e+29 |     3.433583e+29 |    -1.667717e+15 |     4.857073970618433e-13% |
|    144 |     5.555654e+29 |     5.555654e+29 |    -2.601481e+15 |     4.682582215231133e-13% |
|    145 |     8.989237e+29 |     8.989237e+29 |    -4.339566e+15 |     4.827513243461377e-13% |
|    146 |     1.454489e+30 |     1.454489e+30 |    -7.081784e+15 |     4.868915288074079e-13% |
|    147 |     2.353413e+30 |     2.353413e+30 |    -1.142135e+16 |     4.853101114235766e-13% |
|    148 |     3.807902e+30 |     3.807902e+30 |    -1.906608e+16 |     5.006978894684071e-13% |
|    149 |     6.161315e+30 |     6.161315e+30 |    -3.105038e+16 |     5.039571291062818e-13% |
|    150 |     9.969217e+30 |     9.969217e+30 |    -4.955352e+16 |     4.970653278271483e-13% |
|    151 |     1.613053e+31 |     1.613053e+31 |    -8.060390e+16 |     4.996977616720673e-13% |
|    152 |     2.609975e+31 |     2.609975e+31 |    -1.290315e+17 |     4.943784270359798e-13% |
|    153 |     4.223028e+31 |     4.223028e+31 |    -2.141390e+17 |      5.07074617145289e-13% |
|    154 |     6.833003e+31 |     6.833003e+31 |    -3.476742e+17 |     5.088160564971608e-13% |
|    155 |     1.105603e+32 |     1.105603e+32 |    -5.708204e+17 |     5.162977511138139e-13% |
|    156 |     1.788903e+32 |     1.788903e+32 |    -9.455161e+17 |     5.285451169605205e-13% |
|    157 |     2.894506e+32 |     2.894506e+32 |    -1.516337e+18 |     5.238670394797333e-13% |
|    158 |     4.683410e+32 |     4.683410e+32 |    -2.425824e+18 |     5.179610500560854e-13% |
|    159 |     7.577916e+32 |     7.577916e+32 |    -3.942160e+18 |     5.202169372787214e-13% |
|    160 |     1.226133e+33 |     1.226133e+33 |    -6.440042e+18 |     5.252320840920902e-13% |
|    161 |     1.983924e+33 |     1.983924e+33 |    -1.067043e+19 |     5.378447641613457e-13% |
|    162 |     3.210057e+33 |     3.210057e+33 |    -1.711047e+19 |     5.330271490641185e-13% |
|    163 |     5.193981e+33 |     5.193981e+33 |    -2.749268e+19 |     5.293179991302777e-13% |
|    164 |     8.404038e+33 |     8.404038e+33 |    -4.575607e+19 |      5.44453429859067e-13% |
|    165 |     1.359802e+34 |     1.359802e+34 |    -7.440167e+19 |     5.471508088566751e-13% |
|    166 |     2.200206e+34 |     2.200206e+34 |    -1.247694e+20 |     5.670807514473106e-13% |
|    167 |     3.560008e+34 |     3.560008e+34 |    -1.968653e+20 |     5.529911174118407e-13% |
|    168 |     5.760213e+34 |     5.760213e+34 |    -3.262464e+20 |     5.663789816921619e-13% |
|    169 |     9.320221e+34 |     9.320221e+34 |    -5.277233e+20 |     5.662133163253934e-13% |
|    170 |     1.508043e+35 |     1.508043e+35 |    -8.355229e+20 |     5.540443579996384e-13% |
|    171 |     2.440065e+35 |     2.440065e+35 |    -1.400140e+21 |     5.738123627545406e-13% |
|    172 |     3.948109e+35 |     3.948109e+35 |    -2.235663e+21 |     5.662616568279375e-13% |
|    173 |     6.388174e+35 |     6.388174e+35 |    -3.709589e+21 |     5.806963275210164e-13% |
|    174 |     1.033628e+36 |     1.033628e+36 |    -6.019039e+21 |     5.823214111606183e-13% |
|    175 |     1.672446e+36 |     1.672446e+36 |    -9.581054e+21 |     5.728768435643999e-13% |
|    176 |     2.706074e+36 |     2.706074e+36 |    -1.604282e+22 |     5.928446481034295e-13% |
|    177 |     4.378520e+36 |     4.378520e+36 |    -2.562387e+22 |     5.852176254502347e-13% |
|    178 |     7.084594e+36 |     7.084594e+36 |    -4.225698e+22 |     5.964629939525026e-13% |
|    179 |     1.146311e+37 |     1.146311e+37 |    -6.788085e+22 |     5.921676454006537e-13% |
|    180 |     1.854771e+37 |     1.854771e+37 |    -1.113184e+23 |     6.001734844406896e-13% |
|    181 |     3.001082e+37 |     3.001082e+37 |    -1.791993e+23 |     5.971155260358567e-13% |
|    182 |     4.855853e+37 |     4.855853e+37 |    -2.952401e+23 |      6.08008664197703e-13% |
|    183 |     7.856935e+37 |     7.856935e+37 |    -4.791617e+23 |     6.098582992362884e-13% |
|    184 |     1.271279e+38 |     1.271279e+38 |    -7.838465e+23 |      6.16581118348574e-13% |
|    185 |     2.056972e+38 |     2.056972e+38 |    -1.263008e+24 |     6.140132299478982e-13% |
|    186 |     3.328251e+38 |     3.328251e+38 |    -2.027965e+24 |     6.093185830057178e-13% |
|    187 |     5.385223e+38 |     5.385223e+38 |    -3.328752e+24 |      6.18127073765732e-13% |
|    188 |     8.713475e+38 |     8.713475e+38 |    -5.470054e+24 |     6.277696022966822e-13% |
|    189 |     1.409870e+39 |     1.409870e+39 |    -8.723249e+24 |     6.187272754899099e-13% |
|    190 |     2.281217e+39 |     2.281217e+39 |    -1.419330e+25 |     6.221811369927126e-13% |
|    191 |     3.691087e+39 |     3.691087e+39 |    -2.321878e+25 |     6.290500214900999e-13% |
|    192 |     5.972304e+39 |     5.972304e+39 |    -3.801655e+25 |     6.365474414443225e-13% |
|    193 |     9.663391e+39 |     9.663391e+39 |    -6.244426e+25 |     6.461940499109793e-13% |
|    194 |     1.563570e+40 |     1.563570e+40 |    -1.004608e+26 |     6.425093733528789e-13% |
|    195 |     2.529909e+40 |     2.529909e+40 |    -1.641140e+26 |     6.486953299481452e-13% |
|    196 |     4.093478e+40 |     4.093478e+40 |    -2.718284e+26 |     6.640522884976518e-13% |
|    197 |     6.623387e+40 |     6.623387e+40 |    -4.311067e+26 |      6.50885499889054e-13% |
|    198 |     1.071687e+41 |     1.071687e+41 |    -7.029350e+26 |     6.559147656148535e-13% |
|    199 |     1.734025e+41 |     1.734025e+41 |    -1.153384e+27 |     6.651486197222183e-13% |
|    200 |     2.805712e+41 |     2.805712e+41 |    -1.875662e+27 |     6.685156855740705e-13% |
|    201 |     4.539737e+41 |     4.539737e+41 |    -3.029047e+27 |      6.67229580861022e-13% |
|    202 |     7.345449e+41 |     7.345449e+41 |    -4.904709e+27 |     6.677208291483151e-13% |
|    203 |     1.188519e+42 |     1.188519e+42 |    -8.011127e+27 |     6.740430791243135e-13% |
|    204 |     1.923063e+42 |     1.923063e+42 |    -1.307058e+28 |     6.796748612391988e-13% |
|    205 |     3.111582e+42 |     3.111582e+42 |    -2.154593e+28 |     6.924430524764912e-13% |
|    206 |     5.034645e+42 |     5.034645e+42 |    -3.492600e+28 |     6.937131437807613e-13% |
|    207 |     8.146227e+42 |     8.146227e+42 |    -5.585296e+28 |     6.856297707182004e-13% |
|    208 |     1.318087e+43 |     1.318087e+43 |    -9.139793e+28 |     6.934133158953221e-13% |
|    209 |     2.132710e+43 |     2.132710e+43 |    -1.472509e+29 |     6.904402661906319e-13% |
|    210 |     3.450797e+43 |     3.450797e+43 |    -2.411247e+29 |     6.987506760027499e-13% |
|    211 |     5.583507e+43 |     5.583507e+43 |    -3.933273e+29 |     7.044449297020355e-13% |
|    212 |     9.034305e+43 |     9.034305e+43 |    -6.344520e+29 |     7.022699183294732e-13% |
|    213 |     1.461781e+44 |     1.461781e+44 |    -1.047586e+30 |     7.166506340431129e-13% |
|    214 |     2.365212e+44 |     2.365212e+44 |    -1.682038e+30 |     7.111576894230523e-13% |
|    215 |     3.826993e+44 |     3.826993e+44 |    -2.690011e+30 |     7.029045780947561e-13% |
|    216 |     6.192205e+44 |     6.192205e+44 |    -4.490892e+30 |     7.252492210316281e-13% |
|    217 |     1.001920e+45 |     1.001920e+45 |    -7.180902e+30 |     7.167143268962233e-13% |
|    218 |     1.621140e+45 |     1.621140e+45 |    -1.183025e+31 |     7.297487415926112e-13% |
|    219 |     2.623060e+45 |     2.623060e+45 |    -1.932807e+31 |     7.368518304202701e-13% |
|    220 |     4.244200e+45 |     4.244200e+45 |    -3.115832e+31 |     7.341386919132139e-13% |
|    221 |     6.867260e+45 |     6.867260e+45 |    -5.048638e+31 |     7.351750186067232e-13% |
|    222 |     1.111146e+46 |     1.111146e+46 |    -8.227852e+31 |     7.404834255403062e-13% |
|    223 |     1.797872e+46 |     1.797872e+46 |    -1.314973e+32 |     7.314049556025218e-13% |
|    224 |     2.909018e+46 |     2.909018e+46 |    -2.163111e+32 |     7.435879387505877e-13% |
|    225 |     4.706890e+46 |     4.706890e+46 |    -3.554142e+32 |     7.550935381709932e-13% |
|    226 |     7.615908e+46 |     7.615908e+46 |    -5.717253e+32 |     7.506987902533395e-13% |
|    227 |     1.232280e+47 |     1.232280e+47 |    -9.372807e+32 |     7.606070628581219e-13% |
|    228 |     1.993871e+47 |     1.993871e+47 |    -1.509006e+33 |     7.568224394928944e-13% |
|    229 |     3.226150e+47 |     3.226150e+47 |    -2.466569e+33 |     7.645549135542211e-13% |
|    230 |     5.220021e+47 |     5.220021e+47 |    -4.056705e+33 |     7.771433848943181e-13% |
|    231 |     8.446172e+47 |     8.446172e+47 |    -6.482709e+33 |     7.675322703751496e-13% |
|    232 |     1.366619e+48 |     1.366619e+48 |    -1.053941e+34 |     7.712033894517044e-13% |
|    233 |     2.211236e+48 |     2.211236e+48 |    -1.718438e+34 |     7.771390901816581e-13% |
|    234 |     3.577856e+48 |     3.577856e+48 |    -2.788606e+34 |     7.794069527035856e-13% |
|    235 |     5.789092e+48 |     5.789092e+48 |    -4.571948e+34 |     7.897520862489312e-13% |
|    236 |     9.366948e+48 |     9.366948e+48 |    -7.425457e+34 |     7.927296107207452e-13% |
|    237 |     1.515604e+49 |     1.515604e+49 |    -1.186760e+35 |     7.830275654169856e-13% |
|    238 |     2.452299e+49 |     2.452299e+49 |    -1.968248e+35 |     8.026133036969225e-13% |
|    239 |     3.967903e+49 |     3.967903e+49 |    -3.180969e+35 |      8.01675090528274e-13% |
|    240 |     6.420201e+49 |     6.420201e+49 |    -5.149216e+35 |      8.02033456070005e-13% |
|    241 |     1.038810e+50 |     1.038810e+50 |    -8.434031e+35 |     8.118931932649007e-13% |
|    242 |     1.680831e+50 |     1.680831e+50 |    -1.347940e+36 |     8.019488574413628e-13% |
|    243 |     2.719641e+50 |     2.719641e+50 |    -2.191343e+36 |     8.057472557304112e-13% |
|    244 |     4.400472e+50 |     4.400472e+50 |    -3.539283e+36 |     8.042963966868041e-13% |
|    245 |     7.120113e+50 |     7.120113e+50 |    -5.813703e+36 |     8.165184739061202e-13% |
|    246 |     1.152058e+51 |     1.152058e+51 |    -9.436064e+36 |      8.19061213596069e-13% |
|    247 |     1.864070e+51 |     1.864070e+51 |    -1.541592e+37 |     8.270034546649355e-13% |
|    248 |     3.016128e+51 |     3.016128e+51 |    -2.468583e+37 |     8.184609541801544e-13% |
|    249 |     4.880198e+51 |     4.880198e+51 |    -4.076637e+37 |      8.35342486466685e-13% |
|    250 |     7.896326e+51 |     7.896326e+51 |    -6.611681e+37 |     8.373110648384302e-13% |
|    251 |     1.277652e+52 |     1.277652e+52 |    -1.068832e+38 |     8.365591348099415e-13% |
|    252 |     2.067285e+52 |     2.067285e+52 |    -1.730000e+38 |     8.368463465236625e-13% |
|    253 |     3.344937e+52 |     3.344937e+52 |    -2.825416e+38 |     8.446843419367848e-13% |
|    254 |     5.412222e+52 |     5.412222e+52 |    -4.582001e+38 |     8.466024431499857e-13% |
|    255 |     8.757160e+52 |     8.757160e+52 |    -7.407417e+38 |     8.458697936804053e-13% |
|    256 |     1.416938e+53 |     1.416938e+53 |    -1.209576e+39 |     8.536544312315407e-13% |
|    257 |     2.292654e+53 |     2.292654e+53 |    -1.950317e+39 |     8.506809642771059e-13% |
|    258 |     3.709592e+53 |     3.709592e+53 |    -3.181160e+39 |     8.575498772640653e-13% |
|    259 |     6.002246e+53 |     6.002246e+53 |    -5.174013e+39 |     8.620127486920335e-13% |
|    260 |     9.711839e+53 |     9.711839e+53 |    -8.482779e+39 |     8.734472933730467e-13% |
|    261 |     1.571409e+54 |     1.571409e+54 |    -1.357172e+40 |      8.63666033757054e-13% |
|    262 |     2.542592e+54 |     2.542592e+54 |    -2.205450e+40 |     8.674021424775764e-13% |
|    263 |     4.114001e+54 |     4.114001e+54 |    -3.596650e+40 |     8.742464004709319e-13% |
|    264 |     6.656593e+54 |     6.656593e+54 |    -5.802101e+40 |     8.716321265452433e-13% |
|    265 |     1.077059e+55 |     1.077059e+55 |    -9.534864e+40 |     8.852681496965147e-13% |
|    266 |     1.742719e+55 |     1.742719e+55 |    -1.533696e+41 |     8.800596523241094e-13% |
|    267 |     2.819778e+55 |     2.819778e+55 |    -2.528017e+41 |     8.965303611309415e-13% |
|    268 |     4.562497e+55 |     4.562497e+55 |    -4.116158e+41 |     9.021723080800774e-13% |
|    269 |     7.382275e+55 |     7.382275e+55 |    -6.589730e+41 |     8.926421542149245e-13% |
|    270 |     1.194477e+56 |     1.194477e+56 |    -1.076033e+42 |     9.008404250746337e-13% |
|    271 |     1.932705e+56 |     1.932705e+56 |    -1.756784e+42 |     9.089771478234812e-13% |
|    272 |     3.127182e+56 |     3.127182e+56 |    -2.832818e+42 |     9.058691962904559e-13% |
|    273 |     5.059887e+56 |     5.059887e+56 |    -4.654936e+42 |     9.199685175355124e-13% |
|    274 |     8.187069e+56 |     8.187069e+56 |    -7.487754e+42 |     9.145830560382043e-13% |
|    275 |     1.324696e+57 |     1.324696e+57 |    -1.205558e+43 |     9.100640959788743e-13% |
|    276 |     2.143402e+57 |     2.143402e+57 |    -1.971756e+43 |     9.199185969558186e-13% |
|    277 |     3.468098e+57 |     3.468098e+57 |    -3.194736e+43 |     9.211781473091072e-13% |
|    278 |     5.611500e+57 |     5.611500e+57 |    -5.201337e+43 |     9.269065959722352e-13% |
|    279 |     9.079598e+57 |     9.079598e+57 |    -8.465762e+43 |     9.323939542478932e-13% |
|    280 |     1.469110e+58 |     1.469110e+58 |    -1.387617e+44 |     9.445290015338021e-13% |
|    281 |     2.377070e+58 |     2.377070e+58 |    -2.248131e+44 |     9.457573334241589e-13% |
|    282 |     3.846179e+58 |     3.846179e+58 |    -3.607872e+44 |     9.380404585367987e-13% |
|    283 |     6.223249e+58 |     6.223249e+58 |    -5.883879e+44 |     9.454673635991038e-13% |
